Metric,Baseline,Mitigated,Improvement
accuracy,0.7739287701725097,0.7780328324986088,0.004104062326099056
auc,0.8503013250821203,0.8939563832275559,0.04365505814543558
tpr,0.8224750437902828,0.9657840586364641,0.1433090148461813
fpr,0.2665164846063388,0.3783879514316884,0.1118714668253496
fnr,0.1775249562097172,0.034215941363535875,-0.14330901484618133
tnr,0.7334835153936612,0.6216120485683115,-0.11187146682534965
demographic_parity_diff,0.08741250433719566,0.010946887470590472,-0.07646561686660519
equal_opportunity_diff,0.09564861808589431,0.0060074838520957075,-0.0896411342337986
equalized_odds_diff,0.05211510985095072,0.0540533317888508,0.001938221937900081
male_tpr,0.8673999486916367,0.9686056952283222,0.10120574653668546
male_fpr,0.2711607942438934,0.32313250779730107,0.051971713553407684
male_fnr,0.13260005130836328,0.03139430477167778,-0.10120574653668549
male_accuracy,0.7968128116790159,0.8199852124530024,0.023172400773986523
female_tpr,0.7717513306057424,0.9625982113762265,0.19084688077048406
female_fpr,0.26257919262788626,0.42523168752290696,0.1626524948950207
female_fnr,0.2282486693942576,0.03740178862377349,-0.1908468807704841
female_accuracy,0.7518270355683182,0.737514623881368,-0.014312411686950188
